Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_cards,total_shots,total_fouls
E0,2024-10-26,15:00,Brentford,Ipswich,4,3,H,2,2,20,11,9,5,7,10,5,5,0,1,0,1,1.67,4.27,4.86,1.71,4.4,5.1,2024-10-26 15:00:00,20241026_brentford_ipswich,1,0,0,7,1,10,2,31,17
E0,2024-10-26,15:00,Brighton,Wolves,2,2,D,1,0,19,14,6,7,12,10,9,6,3,3,0,0,1.64,4.32,4.94,1.68,4.5,5.1,2024-10-26 15:00:00,20241026_brighton_wolves,0,1,0,4,1,15,6,33,22
E0,2024-10-26,15:00,Man City,Southampton,1,0,H,1,0,22,5,8,2,9,9,12,1,1,3,0,0,1.11,10.94,21.04,1.13,13.0,26.0,2024-10-26 15:00:00,20241026_mancity_southampton,1,0,0,1,0,13,4,27,18
E0,2024-10-26,17:30,Everton,Fulham,1,1,D,0,0,10,14,5,3,8,8,4,2,1,0,0,0,2.76,3.37,2.6,2.83,3.45,2.66,2024-10-26 17:30:00,20241026_everton_fulham,0,1,0,2,0,6,1,24,16
E0,2024-10-27,14:00,Chelsea,Newcastle,2,1,H,1,1,17,11,7,3,13,16,7,4,6,3,0,0,1.76,4.26,4.15,1.82,4.43,4.3,2024-10-27 14:00:00,20241027_chelsea_newcastle,1,0,0,3,1,11,9,28,29
E0,2024-10-27,14:00,Crystal Palace,Tottenham,1,0,H,1,0,14,11,6,3,16,12,8,8,4,4,0,0,3.97,3.97,1.85,4.1,4.13,1.88,2024-10-27 14:00:00,20241027_crystalpalace_tottenham,1,0,0,1,0,16,8,25,28
E0,2024-10-27,14:00,West Ham,Man United,2,1,H,0,0,12,18,3,5,6,7,6,5,5,1,0,0,2.89,3.71,2.33,2.98,3.98,2.38,2024-10-27 14:00:00,20241027_westham_manunited,1,0,0,3,1,11,6,30,13
E0,2024-10-27,16:30,Arsenal,Liverpool,2,2,D,2,1,9,9,3,4,14,14,1,3,2,2,0,0,2.49,3.37,2.89,2.54,3.59,2.96,2024-10-27 16:30:00,20241027_arsenal_liverpool,0,1,0,4,1,4,4,18,28
E0,2024-11-02,12:30,Newcastle,Arsenal,1,0,H,1,0,9,10,4,1,16,18,4,6,4,4,0,0,3.77,3.69,1.98,3.88,3.8,2.03,2024-11-02 12:30:00,20241102_newcastle_arsenal,1,0,0,1,0,10,8,19,34
E0,2024-11-02,15:00,Southampton,Everton,1,0,H,0,0,9,16,2,5,14,18,3,6,4,2,0,0,2.65,3.48,2.66,2.7,3.63,2.75,2024-11-02 15:00:00,20241102_southampton_everton,1,0,0,1,0,9,6,25,32
E0,2024-11-02,15:00,Liverpool,Brighton,2,1,H,0,1,16,13,8,5,10,18,10,7,1,1,0,0,1.39,5.4,7.12,1.43,5.8,7.5,2024-11-02 15:00:00,20241102_liverpool_brighton,1,0,0,3,1,17,2,29,28
E0,2024-11-02,15:00,Nott'm Forest,West Ham,3,0,H,1,0,19,4,6,2,7,9,11,6,1,2,0,1,2.15,3.52,3.43,2.2,3.69,3.58,2024-11-02 15:00:00,20241102_nott'mforest_westham,1,0,0,3,1,17,4,23,16
E0,2024-11-02,15:00,Ipswich,Leicester,1,1,D,0,0,14,20,2,6,11,10,4,6,4,2,1,0,2.27,3.61,3.09,2.3,3.77,3.18,2024-11-02 15:00:00,20241102_ipswich_leicester,0,1,0,2,0,10,7,34,21
E0,2024-11-02,15:00,Bournemouth,Man City,2,1,H,1,0,12,18,6,4,11,6,3,10,2,1,0,0,5.32,4.44,1.59,5.5,4.6,1.62,2024-11-02 15:00:00,20241102_bournemouth_mancity,1,0,0,3,1,13,3,30,17
E0,2024-11-02,17:30,Wolves,Crystal Palace,2,2,D,0,0,11,19,6,7,7,9,3,6,1,2,0,0,2.53,3.4,2.85,2.61,3.59,2.92,2024-11-02 17:30:00,20241102_wolves_crystalpalace,0,1,0,4,1,9,3,30,16
E0,2024-11-03,14:00,Tottenham,Aston Villa,4,1,H,0,1,16,12,6,1,14,14,6,4,2,0,0,0,1.93,4.07,3.55,1.98,4.28,3.71,2024-11-03 14:00:00,20241103_tottenham_astonvilla,1,0,0,5,1,10,2,28,28
E0,2024-11-03,16:30,Man United,Chelsea,1,1,D,0,0,11,12,4,3,19,14,4,8,6,2,0,0,2.58,3.78,2.56,2.63,4.06,2.61,2024-11-03 16:30:00,20241103_manunited_chelsea,0,1,0,2,0,12,8,23,33
E0,2024-11-04,20:00,Fulham,Brentford,2,1,H,0,1,26,5,12,2,3,10,11,3,2,1,0,0,2.03,3.73,3.52,2.08,3.9,3.61,2024-11-04 20:00:00,20241104_fulham_brentford,1,0,0,3,1,14,3,31,13
E0,2024-11-09,15:00,Brentford,Bournemouth,3,2,H,1,1,12,15,6,3,8,16,6,4,2,4,0,0,2.53,3.59,2.72,2.61,3.7,2.8,2024-11-09 15:00:00,20241109_brentford_bournemouth,1,0,0,5,1,10,6,27,24
E0,2024-11-09,15:00,Crystal Palace,Fulham,0,2,A,0,1,13,17,5,7,10,11,1,8,1,1,1,0,2.7,3.48,2.61,2.82,3.73,2.7,2024-11-09 15:00:00,20241109_crystalpalace_fulham,0,0,1,2,0,9,3,30,21
E0,2024-11-09,15:00,West Ham,Everton,0,0,D,0,0,11,18,6,4,10,9,7,6,1,2,0,0,2.18,3.47,3.38,2.23,3.71,3.5,2024-11-09 15:00:00,20241109_westham_everton,0,1,0,0,0,13,3,29,19
